n c 
 5.940e+05 -4.061e-04 
 6.000e+05 -4.061e-04 
 6.060e+05 -4.061e-04 
 6.120e+05 -4.061e-04 
 6.180e+05 -4.061e-04 
 6.240e+05 -4.061e-04 
 6.300e+05 -4.061e-04 
 6.360e+05 -4.061e-04 
 6.420e+05 -4.061e-04 
 6.480e+05 -4.061e-04 
 6.540e+05 -4.061e-04 
 6.600e+05 -4.061e-04 
 6.660e+05 -4.061e-04 
 6.720e+05 -4.061e-04 
 6.780e+05 -4.061e-04 
 6.840e+05 -4.061e-04 
 6.900e+05 -4.061e-04 
 6.960e+05 -4.061e-04 
 7.020e+05 -4.061e-04 
 7.080e+05 -4.061e-04 
 7.140e+05 -4.061e-04 
 7.200e+05 -4.061e-04 
 7.260e+05 -4.061e-04 
 7.320e+05 -4.061e-04 
 7.380e+05 -4.061e-04 
 7.440e+05 -4.061e-04 
 7.500e+05 -4.061e-04 
 7.560e+05 -5.477e-04 
 7.620e+05 -5.477e-04 
 7.680e+05 -6.970e-04 
 7.740e+05 -6.970e-04 
 7.800e+05 -8.149e-04 
 7.860e+05 -8.149e-04 
 7.920e+05 -8.149e-04 
 7.980e+05 -8.149e-04 
 8.040e+05 -8.149e-04 
 8.100e+05 -8.149e-04 
 8.160e+05 -8.149e-04 
 8.220e+05 -8.149e-04 
 8.280e+05 -8.149e-04 
 8.340e+05 -8.149e-04 
 8.400e+05 -8.149e-04 
 8.460e+05 -8.149e-04 
 8.520e+05 -8.149e-04 
 8.580e+05 -8.149e-04 
 8.640e+05 -8.149e-04 
 8.700e+05 -8.149e-04 
 8.760e+05 -8.149e-04 
 8.820e+05 -8.149e-04 
 8.880e+05 -8.149e-04 
 8.940e+05 -8.149e-04 
 9.000e+05 -8.149e-04 
 9.060e+05 -8.149e-04 
 9.120e+05 -8.149e-04 
 9.180e+05 -8.149e-04 
 9.240e+05 -8.149e-04 
 9.300e+05 -8.149e-04 
 9.360e+05 -8.149e-04 
 9.420e+05 -8.149e-04 
 9.480e+05 -8.149e-04 
 9.540e+05 -8.149e-04 
 9.600e+05 -8.149e-04 
 9.660e+05 -8.149e-04 
 9.720e+05 -8.149e-04 
 9.780e+05 -8.149e-04 
 9.840e+05 -8.149e-04 
 9.900e+05 -8.149e-04 
 9.960e+05 -8.149e-04 
 1.002e+06 -8.149e-04 
 1.008e+06 -8.149e-04 
 1.014e+06 -8.149e-04 
 1.020e+06 -8.149e-04 
 1.026e+06 -8.149e-04 
 1.032e+06 -8.149e-04 
 1.038e+06 -8.149e-04 
 1.044e+06 -8.149e-04 
 1.050e+06 -8.149e-04 
 1.056e+06 -8.149e-04 
 1.062e+06 -8.149e-04 
 1.068e+06 -8.149e-04 
 1.074e+06 -8.149e-04 
 1.080e+06 -8.149e-04 
 1.086e+06 -8.149e-04 
 1.092e+06 -8.149e-04 
 1.098e+06 -8.149e-04 
 1.104e+06 -8.149e-04 
 1.110e+06 -8.149e-04 
 1.116e+06 -8.149e-04 
 1.122e+06 -8.149e-04 
 1.128e+06 -8.149e-04 
 1.134e+06 -8.149e-04 
 1.140e+06 -8.149e-04 
 1.146e+06 -8.149e-04 
 1.152e+06 -8.149e-04 
 1.158e+06 -8.149e-04 
 1.164e+06 -8.149e-04 
 1.170e+06 -8.149e-04 
 1.176e+06 -8.149e-04 
 1.182e+06 -8.149e-04 
 1.188e+06 -8.149e-04 
 1.194e+06 -8.149e-04 
 1.200e+06 -8.149e-04 
 1.206e+06 -8.149e-04 
 1.212e+06 -8.149e-04 
 1.218e+06 -8.149e-04 
 1.224e+06 -8.149e-04 
 1.230e+06 -8.149e-04 
 1.236e+06 -8.149e-04 
 1.242e+06 -8.149e-04 
 1.248e+06 -8.149e-04 
 1.254e+06 -8.149e-04 
 1.260e+06 -8.149e-04 
 1.266e+06 -8.149e-04 
 1.272e+06 -8.149e-04 
 1.278e+06 -8.149e-04 
 1.284e+06 -8.149e-04 
 1.290e+06 -8.149e-04 
 1.296e+06 -8.149e-04 
 1.302e+06 -8.149e-04 
 1.308e+06 -8.149e-04 
 1.314e+06 -8.149e-04 
 1.320e+06 -8.149e-04 
 1.326e+06 -8.149e-04 
 1.332e+06 -8.149e-04 
 1.338e+06 -8.149e-04 
 1.344e+06 -8.149e-04 
 1.350e+06 -8.149e-04 
 1.356e+06 -8.149e-04 
 1.362e+06 -8.149e-04 
 1.368e+06 -8.149e-04 
 1.374e+06 -8.149e-04 
 1.380e+06 -8.149e-04 
 1.386e+06 -8.149e-04 
 1.392e+06 -8.149e-04 
 1.398e+06 -8.149e-04 
 1.404e+06 -8.149e-04 
 1.410e+06 -8.149e-04 
 1.416e+06 -8.149e-04 
 1.422e+06 -8.149e-04 
 1.428e+06 -8.149e-04 
 1.434e+06 -8.149e-04 
 1.440e+06 -8.149e-04 
 1.446e+06 -8.149e-04 
 1.452e+06 -8.149e-04 
 1.458e+06 -8.149e-04 
 1.464e+06 -8.149e-04 
 1.470e+06 -8.149e-04 
 1.476e+06 -8.149e-04 
 1.482e+06 -8.149e-04 
 1.488e+06 -8.149e-04 
 1.494e+06 -8.149e-04 
 1.500e+06 -8.149e-04 
