n c 
 8.850e+05 -1.696e-17 
 9.000e+05 -1.696e-17 
 9.150e+05 -1.696e-17 
 9.300e+05 -1.696e-17 
 9.450e+05 -1.696e-17 
 9.600e+05 -1.696e-17 
 9.750e+05 -1.696e-17 
 9.900e+05 -1.696e-17 
 1.005e+06 -1.696e-17 
 1.020e+06 -1.696e-17 
 1.035e+06 -1.696e-17 
 1.050e+06 -1.696e-17 
 1.065e+06 -1.696e-17 
 1.080e+06 -1.696e-17 
 1.095e+06 -1.696e-17 
 1.110e+06 -1.696e-17 
 1.125e+06 -1.696e-17 
 1.140e+06 -1.696e-17 
 1.155e+06 -1.696e-17 
 1.170e+06 -1.696e-17 
 1.185e+06 -1.696e-17 
 1.200e+06 -1.696e-17 
 1.215e+06 -1.696e-17 
 1.230e+06 -1.696e-17 
 1.245e+06 -1.696e-17 
 1.260e+06 -1.696e-17 
 1.275e+06 -1.696e-17 
 1.290e+06 -1.696e-17 
 1.305e+06 -1.696e-17 
 1.320e+06 -1.696e-17 
 1.335e+06 -1.696e-17 
 1.350e+06 -1.696e-17 
 1.365e+06 -1.696e-17 
 1.380e+06 -1.696e-17 
 1.395e+06 -1.696e-17 
 1.410e+06 -1.696e-17 
 1.425e+06 -1.696e-17 
 1.440e+06 -1.696e-17 
 1.455e+06 -1.696e-17 
 1.470e+06 -1.696e-17 
 1.485e+06 -1.696e-17 
 1.500e+06 -1.696e-17 
 1.515e+06 -1.696e-17 
 1.530e+06 -1.696e-17 
 1.545e+06 -1.696e-17 
 1.560e+06 -1.696e-17 
 1.575e+06 -1.696e-17 
 1.590e+06 -1.696e-17 
 1.605e+06 -1.696e-17 
 1.620e+06 -1.696e-17 
 1.635e+06 -1.696e-17 
 1.650e+06 -1.696e-17 
 1.665e+06 -1.696e-17 
 1.680e+06 -1.696e-17 
 1.695e+06 -1.696e-17 
 1.710e+06 -1.696e-17 
 1.725e+06 -1.696e-17 
 1.740e+06 -1.696e-17 
 1.755e+06 -1.696e-17 
 1.770e+06 -1.696e-17 
 1.785e+06 -1.696e-17 
 1.800e+06 -1.696e-17 
 1.815e+06 -1.696e-17 
 1.830e+06 -1.696e-17 
 1.845e+06 -1.696e-17 
 1.860e+06 -1.696e-17 
 1.875e+06 -1.696e-17 
 1.890e+06 -1.696e-17 
 1.905e+06 -1.696e-17 
 1.920e+06 -1.696e-17 
 1.935e+06 -1.696e-17 
 1.950e+06 -1.696e-17 
 1.965e+06 -1.696e-17 
 1.980e+06 -1.696e-17 
 1.995e+06 -1.696e-17 
 2.010e+06 -1.696e-17 
 2.025e+06 -1.696e-17 
 2.040e+06 -1.696e-17 
 2.055e+06 -1.696e-17 
 2.070e+06 -1.696e-17 
 2.085e+06 -1.696e-17 
 2.100e+06 -1.696e-17 
 2.115e+06 -1.696e-17 
 2.130e+06 -1.696e-17 
 2.145e+06 -1.696e-17 
 2.160e+06 -1.696e-17 
 2.175e+06 -1.696e-17 
 2.190e+06 -1.696e-17 
 2.205e+06 -1.696e-17 
 2.220e+06 -1.696e-17 
 2.235e+06 -1.696e-17 
 2.250e+06 -1.696e-17 
 2.265e+06 -1.696e-17 
 2.280e+06 -1.696e-17 
 2.295e+06 -1.696e-17 
 2.310e+06 -1.696e-17 
 2.325e+06 -1.696e-17 
 2.340e+06 -1.696e-17 
 2.355e+06 -1.696e-17 
 2.370e+06 -1.696e-17 
 2.385e+06 -1.696e-17 
 2.400e+06 -1.696e-17 
 2.415e+06 -1.696e-17 
 2.430e+06 -1.696e-17 
 2.445e+06 -1.696e-17 
 2.460e+06 -1.696e-17 
 2.475e+06 -1.696e-17 
 2.490e+06 -1.696e-17 
 2.505e+06 -1.696e-17 
 2.520e+06 -1.696e-17 
 2.535e+06 -1.696e-17 
 2.550e+06 -1.696e-17 
 2.565e+06 -1.696e-17 
 2.580e+06 -1.696e-17 
 2.595e+06 -1.696e-17 
 2.610e+06 -1.696e-17 
 2.625e+06 -1.696e-17 
 2.640e+06 -1.696e-17 
 2.655e+06 -1.696e-17 
 2.670e+06 -1.696e-17 
 2.685e+06 -1.696e-17 
 2.700e+06 -1.696e-17 
 2.715e+06 -1.696e-17 
 2.730e+06 -1.696e-17 
 2.745e+06 -1.696e-17 
 2.760e+06 -1.696e-17 
 2.775e+06 -1.696e-17 
 2.790e+06 -1.696e-17 
 2.805e+06 -1.696e-17 
 2.820e+06 -1.696e-17 
 2.835e+06 -1.696e-17 
 2.850e+06 -1.696e-17 
 2.865e+06 -1.696e-17 
 2.880e+06 -1.696e-17 
 2.895e+06 -1.696e-17 
 2.910e+06 -1.696e-17 
 2.925e+06 -1.696e-17 
 2.940e+06 -1.696e-17 
 2.955e+06 -1.696e-17 
 2.970e+06 -1.696e-17 
 2.985e+06 -1.696e-17 
 3.000e+06 -1.696e-17 
 3.015e+06 -1.696e-17 
 3.030e+06 -1.696e-17 
 3.045e+06 -1.696e-17 
 3.060e+06 -1.696e-17 
 3.075e+06 -1.696e-17 
 3.090e+06 -1.696e-17 
 3.105e+06 -1.696e-17 
 3.120e+06 -1.696e-17 
 3.135e+06 -1.696e-17 
 3.150e+06 -1.696e-17 
 3.165e+06 -1.696e-17 
 3.180e+06 -1.696e-17 
 3.195e+06 -1.696e-17 
 3.210e+06 -1.696e-17 
 3.225e+06 -1.696e-17 
 3.240e+06 -1.696e-17 
 3.255e+06 -1.696e-17 
 3.270e+06 -1.696e-17 
 3.285e+06 -1.696e-17 
 3.300e+06 -1.696e-17 
 3.315e+06 -1.696e-17 
 3.330e+06 -1.696e-17 
 3.345e+06 -1.696e-17 
 3.360e+06 -1.696e-17 
 3.375e+06 -1.696e-17 
 3.390e+06 -1.696e-17 
 3.405e+06 -1.696e-17 
 3.420e+06 -1.696e-17 
 3.435e+06 -1.696e-17 
 3.450e+06 -1.696e-17 
 3.465e+06 -1.696e-17 
 3.480e+06 -1.696e-17 
 3.495e+06 -1.696e-17 
 3.510e+06 -1.696e-17 
 3.525e+06 -1.696e-17 
 3.540e+06 -1.696e-17 
 3.555e+06 -1.696e-17 
 3.570e+06 -1.696e-17 
 3.585e+06 -1.696e-17 
 3.600e+06 -1.696e-17 
 3.615e+06 -1.696e-17 
 3.630e+06 -1.696e-17 
 3.645e+06 -1.696e-17 
 3.660e+06 -1.696e-17 
 3.675e+06 -1.696e-17 
 3.690e+06 -1.696e-17 
 3.705e+06 -1.696e-17 
 3.720e+06 -1.696e-17 
 3.735e+06 -1.696e-17 
 3.750e+06 -1.696e-17 
 3.765e+06 -1.696e-17 
 3.780e+06 -1.696e-17 
 3.795e+06 -1.696e-17 
 3.810e+06 -1.696e-17 
 3.825e+06 -1.696e-17 
 3.840e+06 -1.696e-17 
 3.855e+06 -1.696e-17 
 3.870e+06 -1.696e-17 
 3.885e+06 -1.696e-17 
 3.900e+06 -1.696e-17 
 3.915e+06 -1.696e-17 
 3.930e+06 -1.696e-17 
 3.945e+06 -1.696e-17 
 3.960e+06 -1.696e-17 
 3.975e+06 -1.696e-17 
 3.990e+06 -1.696e-17 
 4.005e+06 -1.696e-17 
 4.020e+06 -1.696e-17 
 4.035e+06 -1.696e-17 
 4.050e+06 -1.696e-17 
 4.065e+06 -1.696e-17 
 4.080e+06 -1.696e-17 
 4.095e+06 -1.696e-17 
 4.110e+06 -1.696e-17 
 4.125e+06 -1.696e-17 
 4.140e+06 -1.696e-17 
 4.155e+06 -1.696e-17 
 4.170e+06 -1.696e-17 
 4.185e+06 -1.696e-17 
 4.200e+06 -1.696e-17 
 4.215e+06 -1.696e-17 
 4.230e+06 -1.696e-17 
