n c 
 1.128e+06 -1.982e-17 
 1.134e+06 -1.982e-17 
 1.140e+06 -1.982e-17 
 1.146e+06 -1.982e-17 
 1.152e+06 -1.982e-17 
 1.158e+06 -1.982e-17 
 1.164e+06 -1.982e-17 
 1.170e+06 -1.982e-17 
 1.176e+06 -1.982e-17 
 1.182e+06 -1.982e-17 
 1.188e+06 -1.982e-17 
 1.194e+06 -1.982e-17 
 1.200e+06 -1.982e-17 
 1.206e+06 -1.982e-17 
 1.212e+06 -1.982e-17 
 1.218e+06 -1.982e-17 
 1.224e+06 -1.982e-17 
 1.230e+06 -1.982e-17 
 1.236e+06 -1.982e-17 
 1.242e+06 -1.982e-17 
 1.248e+06 -1.982e-17 
 1.254e+06 -1.982e-17 
 1.260e+06 -1.982e-17 
 1.266e+06 -1.982e-17 
 1.272e+06 -1.982e-17 
 1.278e+06 -1.982e-17 
 1.284e+06 -1.982e-17 
 1.290e+06 -1.982e-17 
 1.296e+06 -1.982e-17 
 1.302e+06 -1.982e-17 
 1.308e+06 -1.982e-17 
 1.314e+06 -1.982e-17 
 1.320e+06 -1.982e-17 
 1.326e+06 -1.982e-17 
 1.332e+06 -1.982e-17 
 1.338e+06 -1.982e-17 
 1.344e+06 -1.982e-17 
 1.350e+06 -1.982e-17 
 1.356e+06 -1.982e-17 
 1.362e+06 -1.982e-17 
 1.368e+06 -1.982e-17 
 1.374e+06 -1.982e-17 
 1.380e+06 -1.982e-17 
 1.386e+06 -1.982e-17 
 1.392e+06 -1.982e-17 
 1.398e+06 -1.982e-17 
 1.404e+06 -1.982e-17 
 1.410e+06 -1.982e-17 
 1.416e+06 -1.982e-17 
 1.422e+06 -1.982e-17 
 1.428e+06 -1.982e-17 
 1.434e+06 -1.982e-17 
 1.440e+06 -1.982e-17 
 1.446e+06 -1.982e-17 
 1.452e+06 -1.982e-17 
 1.458e+06 -1.982e-17 
 1.464e+06 -1.982e-17 
 1.470e+06 -1.982e-17 
 1.476e+06 -1.982e-17 
 1.482e+06 -1.982e-17 
 1.488e+06 -1.982e-17 
 1.494e+06 -1.982e-17 
 1.500e+06 -1.982e-17 
